,Massive Credits to Sandow for the template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TM Changes apply for the whole evo line unless noted otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Every mon that originally got TM17 and TM77 still get it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bulbasaur,,Learnset,,Ivysaur,,Learnset,,Venusaur,,Learnset,,,,,,,,,,,,,,,,,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle,,,,,,,,,,,,,,,,,,,,
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl,,,,,,,,,,,,,,,,,,,,
,,,6 - Mega Drain,,,,6 - Mega Drain,,,,6 - Mega Drain,,,,,,,,,,,,,,,,,,,,
,,,7 - Leech Seed,,,,7 - Leech Seed,,,,7 - Leech Seed,,,,,,,,,,,,,,,,,,,,
,,,10 - Sludge,,,,10 - Sludge,,,,10 - Sludge,,,,,,,,,,,,,,,,,,,,
,GRASS,POISON,15 - Sleep Powder,,GRASS,POISON,15 - Sleep Powder,,GRASS,POISON,15 - Sleep Powder,,,,,,,,,,,,,,,,,,,,
,Ability 1,Thick Fat,20 - Acid Spray,,Ability 1,Thick Fat,20 - Acid Spray,,Ability 1,Thick Fat,20 - Acid Spray,,,,,,,,,,,,,,,,,,,,
,Ability 2,Chlorophyll,27 - Giga Drain,,Ability 2,Chlorophyll,27 - Giga Drain,,Ability 2,Chlorophyll,27 - Giga Drain,,,,,,,,,,,,,,,,,,,,
,Base Stats,,31 - Toxic,,Base Stats,,31 - Toxic,,Base Stats,,31 - Toxic,,,,,,,,,,,,,,,,,,,,
,HP,50(+5),36 - Sludge Bomb,,HP,70(+10),36 - Sludge Bomb,,HP,90(+10),36 - Sludge Bomb,,,,,,,,,,,,,,,,,,,,
,Attack,40(-9),40 - Earth Power,,Attack,52(-10),40 - Earth Power,,Attack,72(-10),40 - Earth Power,,,,,,,,,,,,,,,,,,,,
,Defense,50(+1),44 - Energy Ball,,Defense,73(+10),44 - Energy Ball,,Defense,93(+10),44 - Energy Ball,,,,,,,,,,,,,,,,,,,,
,Special Attack,75(+10),48 - Weather Ball,,Special Attack,95(+15),48 - Weather Ball,,Special Attack,115(+15),48 - Weather Ball,,,,,,,,,,,,,,,,,,,,
,Special Defense,65,52 - Synthesis,,Special Defense,90(+10),52 - Synthesis,,Special Defense,110(+10),52 - Synthesis,,,,,,,,,,,,,,,,,,,,
,Speed,45,56 - Knock Off,,Speed,60,56 - Knock Off,,Speed,80,56 - Knock Off,,,,,,,,,,,,,,,,,,,,
,,,60 - Sludge Wave,,Evolves at level 16.,,60 - Sludge Wave,,Evolves at level 36.,,60 - Sludge Wave,,,,,,,,,,,,,,,,,,,,
,,,62 - Leaf Storm,,,,62 - Leaf Storm,,"Now learns TM19, TM34, TM77",,62 - Leaf Storm,,,,,,,,,,,,,,,,,,,,
,,,67 - Petal Dance,,,,67 - Petal Dance,,,,67 - Petal Dance,,,,,,,,,,,,,,,,,,,,
,,,75 - Frenzy Plant,,,,75 - Frenzy Plant,,,,75 - Frenzy Plant,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charmander,,Learnset,,Charmeleon,,Learnset,,Charizard,,Learnset,,,,,,,,,,,,,,,,,,,,
,,,1 - Scratch,,,,1 - Scratch,,,,1 - Scratch,,,,,,,,,,,,,,,,,,,,
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl,,,,,,,,,,,,,,,,,,,,
,,,6 - Ember,,,,6 - Ember,,,,6 - Ember,,,,,,,,,,,,,,,,,,,,
,,,9 - Metal Claw,,,,9 - Metal Claw,,,,9 - Metal Claw,,,,,,,,,,,,,,,,,,,,
,,,12 - DragonBreath,,,,12 - DragonBreath,,,,12 - DragonBreath,,,,,,,,,,,,,,,,,,,,
,FIRE,,16 - Incinerate,,FIRE,,16 - Incinerate,,FIRE,DRAGON,16 - Incinerate,,,,,,,,,,,,,,,,,,,,
,Ability 1,Blaze,20 - Screech,,Ability 1,Blaze,20 - Screech,,Ability 1,Blaze,20 - Screech,,,,,,,,,,,,,,,,,,,,
,Ability 2,Solar Power,25 - Flame Burst,,Ability 2,Solar Power,25 - Flame Burst,,Ability 2,Levitate,25 - Flame Burst,,,,,,,,,,,,,,,,,,,,
,Base Stats,,32 - Will-O-Wisp,,Base Stats,,32 - Will-O-Wisp,,Base Stats,,32 - Will-O-Wisp,,,,,,,,,,,,,,,,,,,,
,HP,40(+10),36 - Dragon Pulse,,HP,58,36 - Dragon Pulse,,HP,78,36 - Dragon Pulse,,,,,,,,,,,,,,,,,,,,
,Attack,42,42 - Flamethrower,,Attack,64,42 - Flamethrower,,Attack,74(-10),42 - Flamethrower,,,,,,,,,,,,,,,,,,,,
,Defense,43,50 - Heat Wave,,Defense,63(+5),50 - Heat Wave,,Defense,78,50 - Heat Wave,,,,,,,,,,,,,,,,,,,,
,Special Attack,80(+20),56 - Tailwind,,Special Attack,100(+20),56 - Tailwind,,Special Attack,120(+11),56 - Tailwind,,,,,,,,,,,,,,,,,,,,
,Special Defense,50,62 - Overheat,,Special Defense,75(+10),62 - Overheat,,Special Defense,100(+15),62 - Overheat,,,,,,,,,,,,,,,,,,,,
,Speed,70(+5),65 - Draco Meteor,,Speed,80,65 - Draco Meteor,,Speed,100,65 - Draco Meteor,,,,,,,,,,,,,,,,,,,,
,,,67 - Blast Burn,,Evolves at level 16.,,67 - Blast Burn,,Evolves at level 36.,,67 - Blast Burn,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Squirtle,,Learnset,,Wartortle,,Learnset,,Blastoise,,Learnset,,,,,,,,,,,,,,,,,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle,,,,,,,,,,,,,,,,,,,,
,,,1 - Tail Whip,,,,1 - Tail Whip,,,,1 - Tail Whip,,,,,,,,,,,,,,,,,,,,
,,,6 - Water Gun,,,,6 - Water Gun,,,,6 - Water Gun,,,,,,,,,,,,,,,,,,,,
,,,10 - Icy Wind,,,,10 - Icy Wind,,,,10 - Icy Wind,,,,,,,,,,,,,,,,,,,,
,,,16 - BubbleBeam,,,,16 - BubbleBeam,,,,16 - BubbleBeam,,,,,,,,,,,,,,,,,,,,
,WATER,,20 - Mirror Shot,,WATER,,20 - Mirror Shot,,WATER,STEEL,20 - Mirror Shot,,,,,,,,,,,,,,,,,,,,
,Ability 1,Shell Armor,25 - Rapid Spin,,Ability 1,Shell Armor,25 - Rapid Spin,,Ability 1,Shell Armor,25 - Rapid Spin,,,,,,,,,,,,,,,,,,,,
,Ability 2,No Guard,30 - Helping Hand,,Ability 2,No Guard,30 - Helping Hand,,Ability 2,No Guard,30 - Helping Hand,,,,,,,,,,,,,,,,,,,,
,Base Stats,,36 - Flash Cannon,,Base Stats,,36 - Flash Cannon,,Base Stats,,36 - Flash Cannon,,,,,,,,,,,,,,,,,,,,
,HP,45(+1),41 - Scald,,HP,69(+10),41 - Scald,,HP,89(+10),41 - Scald,,,,,,,,,,,,,,,,,,,,
,Attack,48,44 - Aura Sphere,,Attack,63,44 - Aura Sphere,,Attack,83,44 - Aura Sphere,,,,,,,,,,,,,,,,,,,,
,Defense,65,47 - Dark Pulse,,Defense,80,47 - Dark Pulse,,Defense,100,47 - Dark Pulse,,,,,,,,,,,,,,,,,,,,
,Special Attack,60(+10),50 - Dragon Pulse,,Special Attack,90(+25),50 - Dragon Pulse,,Special Attack,115(+30),50 - Dragon Pulse,,,,,,,,,,,,,,,,,,,,
,Special Defense,64,55 - Hydro Pump,,Special Defense,80,55 - Hydro Pump,,Special Defense,105,55 - Hydro Pump,,,,,,,,,,,,,,,,,,,,
