,,,,,,,,,,,
,Snivy,,Learnset,,Servine,,Learnset,,Serperior,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Leer,,,,1 - Leer,,,,1 - Leer
,,,6 - Absorb,,,,6 - Absorb,,,,6 - Absorb
,,,10 - Leech Seed,,,,10 - Leech Seed,,,,10 - Leech Seed
,,,15 - Mega Drain,,,,15 - Mega Drain,,,,15 - Mega Drain
,GRASS,,17 - DragonBreath,,GRASS,DRAGON,17 - DragonBreath,,GRASS,DRAGON,17 - DragonBreath
,Ability 1,Overgrow,20 - Taunt,,Ability 1,Overgrow,20 - Taunt,,Ability 1,Sheer Force,20 - Taunt
,Ability 2,Overgrow,23 - Knock Off,,Ability 2,Overgrow,23 - Knock Off,,Ability 2,Sheer Force,23 - Knock Off
,Base Stats,,26 - Giga Drain,,Base Stats,,26 - Giga Drain,,Base Stats,,26 - Giga Drain
,HP,45,32 - Gastro Acid,,HP,70(+10),32 - Gastro Acid,,HP,90(+15),32 - Gastro Acid
,Attack,30(-15),36 - Magical Leaf,,Attack,50(-10),36 - Magical Leaf,,Attack,45(-30),36 - Magical Leaf
,Defense,55,42 - Fling,,Defense,75,42 - Fling,,Defense,95,42 - Fling
,Special Attack,65(+20),46 - Dragon Pulse,,Special Attack,80(+20),46 - Dragon Pulse,,Special Attack,112(+37),46 - Dragon Pulse
,Special Defense,55,49 - Energy Ball,,Special Defense,75,49 - Energy Ball,,Special Defense,95,49 - Energy Ball
,Speed,75(+12),55 - Frenzy Plant,,Speed,90(+7),55 - Frenzy Plant,,Speed,113,55 - Frenzy Plant
,,,63 - Leaf Storm,,Evolves at level 17.,,63 - Leaf Storm,,Evolves at level 36.,,63 - Leaf Storm
,,,67 - Draco Meteor,,,,67 - Draco Meteor,,"Now learns TM19, TM56, TM77",,67 - Draco Meteor
,,,70 - Fling,,,,70 - Fling,,,,70 - Fling
,,,75 - Frenzy Plant,,,,75 - Frenzy Plant,,,,75 - Frenzy Plant
,,,,,,,,,,,
,,,,,,,,,,,
,Tepig,,Learnset,,Pignite,,Learnset,,Emboar,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Tail Whip,,,,1 - Tail Whip,,,,1 - Tail Whip
,,,6 - Ember,,,,6 - Ember,,,,6 - Ember
,,,10 - Flame Wheel,,,,10 - Flame Wheel,,,,10 - Flame Wheel
,,,17 - Knock Off,,,,17 - Knock Off,,,,17 - Knock Off
,FIRE,,21 - Fire Fang,,FIRE,DARK,21 - Fire Fang,,FIRE,DARK,21 - Fire Fang
,Ability 1,Adaptability,21 - Thunder Fang,,Ability 1,Adaptability,21 - Thunder Fang,,Ability 1,Adaptability,21 - Thunder Fang
,Ability 2,Adaptability,25 - Low Sweep,,Ability 2,Adaptability,25 - Low Sweep,,Ability 2,Adaptability,25 - Low Sweep
,Base Stats,,29 - Fire Punch,,Base Stats,,29 - Fire Punch,,Base Stats,,29 - Fire Punch
,HP,75(+10),33 - Faint Attack,,HP,100(+10),33 - Faint Attack,,HP,110,33 - Faint Attack
,Attack,70(+7),36 - Heat Crash,,Attack,100(+7),36 - Heat Crash,,Attack,125(+2),36 - Heat Crash
,Defense,50(+5),42 - Crunch,,Defense,70(+15),42 - Crunch,,Defense,90(+35),42 - Crunch
,Special Attack,35(-10),46 - Blaze Kick,,Special Attack,45(-25),46 - Blaze Kick,,Special Attack,80(-20),46 - Blaze Kick
,Special Defense,50(+5),50 - Hammer Arm,,Special Defense,70(+15),50 - Hammer Arm,,Special Defense,90(+35),50 - Hammer Arm
,Speed,45,55 - Payback,,Speed,55,55 - Payback,,Speed,55(-10),55 - Payback
,,,60 - Flare Blitz,,Evolves at level 17.,,60 - Flare Blitz,,Evolves at level 36.,,60 - Flare Blitz
,,,,,,,,,,,
,,,,,,,,,,,
,Oshawott,,Learnset,,Dewott,,Learnset,,Samurott,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Tail Whip,,,,1 - Tail Whip,,,,1 - Tail Whip
,,,6 - Water Gun,,,,6 - Water Gun,,,,6 - Water Gun
,,,10 - Aqua Jet,,,,10 - Aqua Jet,,,,10 - Aqua Jet
,,,10 - Icy Wind,,,,10 - Icy Wind,,,,10 - Icy Wind
,WATER,,17 - Razor Shell,,WATER,FIGHTING,17 - Razor Shell,,WATER,FIGHTING,17 - Razor Shell
,Ability 1,Shell Armor,20 - Brick Break,,Ability 1,Shell Armor,20 - Brick Break,,Ability 1,Shell Armor,20 - Brick Break
,Ability 2,Shell Armor,23 - Soak,,Ability 2,Shell Armor,23 - Soak,,Ability 2,Shell Armor,23 - Soak
,Base Stats,,26 - Vital Throw,,Base Stats,,26 - Vital Throw,,Base Stats,,26 - Vital Throw
,HP,55,29 - Knock Off,,HP,75,29 - Knock Off,,HP,95,29 - Knock Off
,Attack,75(+20),32 - Drill Run,,Attack,90(+15),32 - Drill Run,,Attack,115(+15),32 - Drill Run
,Defense,55(+10),36 - Sacred Sword,,Defense,75(+15),36 - Sacred Sword,,Defense,100(+15),36 - Sacred Sword
,Special Attack,50(-13),42 - Waterfall,,Special Attack,75(-8),42 - Waterfall,,Special Attack,75(-33),42 - Waterfall
,Special Defense,45,50 - Detect,,Special Defense,60,50 - Detect,,Special Defense,80(+10),50 - Detect
,Speed,45,55 - Aqua Tail,,Speed,65(+5),55 - Aqua Tail,,Speed,85(+15),55 - Aqua Tail
,,,62 - Close Combat,,Evolves at level 17.,,62 - Close Combat,,Evolves at level 36.,,62 - Close Combat
,,,65 - Superpower,,,,65 - Superpower,,"Now learns TM33, TM47",,65 - Superpower
,,,,,,,,,,,
,,,,,,,,,,,
,Patrat,,Learnset,,Watchog,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,5 - Bite,,,,5 - Bite,,,,
,,,9 - Detect,,,,9 - Detect,,,,
,,,12 - Super Fang,,,,12 - Super Fang,,,,
,NORMAL,,15 - Heart Stamp,,NORMAL,PSYCHIC,15 - Heart Stamp,,,,
,Ability 1,Run Away,18 - Hypnosis,,Ability 1,Compoundeyes,18 - Hypnosis,,,,
,Ability 2,Run Away,22 - Headbutt,,Ability 2,Compoundeyes,22 - Headbutt,,,,
,Base Stats,,26 - Crunch,,Base Stats,,26 - Crunch,,,,
,HP,45,30 - Take Down,,HP,90(+30),30 - Take Down,,,,
,Attack,75(+20),33 - Zen Headbutt,,Attack,105(+20),33 - Zen Headbutt,,,,
,Defense,39,36 - Double-Edge,,Defense,79(+10),36 - Double-Edge,,,,
,Special Attack,35,39 - Imprison,,Special Attack,60,39 - Imprison,,,,
,Special Defense,39,42 - Skill Swap,,Special Defense,79(+10),42 - Skill Swap,,,,
,Speed,42,44 - Role Play,,Speed,87(+10),44 - Role Play,,,,
,,,,,Evolves at level 15,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Lillipup,,Learnset,,Herdier,,Learnset,,Stoutland,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Leer,,,,1 - Leer,,,,1 - Leer
,,,5 - Bite,,,,5 - Bite,,,,5 - Bite
,,,10 - Yawn,,,,10 - Yawn,,,,10 - Yawn
,,,16 - Retaliate,,,,16 - Retaliate,,,,16 - Retaliate
,NORMAL,,20 - Fire Fang,,NORMAL,,20 - Fire Fang,,NORMAL,,20 - Fire Fang
,Ability 1,Run Away,20 - Ice Fang,,Ability 1,Intimidate,20 - Ice Fang,,Ability 1,Intimidate,20 - Ice Fang
,Ability 2,Vital Spirit,20 - Thunder Fang,,Ability 2,Sand Rush,20 - Thunder Fang,,Ability 2,Sand Rush,20 - Thunder Fang
,Base Stats,,23 - Charm,,Base Stats,,23 - Charm,,Base Stats,,23 - Charm
,HP,45,26 - Crunch,,HP,85(+20),26 - Crunch,,HP,105(+20),26 - Crunch
,Attack,75(+15),29 - Helping Hand,,Attack,100(+20),29 - Helping Hand,,Attack,120(+10),29 - Helping Hand
,Defense,45,32 - Take Down,,Defense,85(+20),32 - Take Down,,Defense,100(+10),32 - Take Down
,Special Attack,25,35 - Last Resort,,Special Attack,35,35 - Last Resort,,Special Attack,45,35 - Last Resort
,Special Defense,45,44 - Double-Edge,,Special Defense,85(+20),44 - Double-Edge,,Special Defense,80,44 - Double-Edge
,Speed,70(+15),50 - Superpower,,Speed,80(+20),50 - Superpower,,Speed,100(+20),50 - Superpower
,,,,,Evolves at level 16,,,,Evolves at level 32.,,
,,,,,,,,,Now learns TM26 (just Stoutland),,
,,,,,,,,,,,
,,,,,,,,,,,
,Purrloin,,Learnset,,Liepard,,Learnset,,,,
,,,1 - Scratch,,,,1 - Scratch,,,,
,,,1 - Sand-Attack,,,,1 - Sand-Attack,,,,
,,,5 - Taunt,,,,5 - Taunt,,,,
,,,9 - Fake Out,,,,9 - Fake Out,,,,
,,,14 - Knock Off,,,,14 - Knock Off,,,,
,DARK,,17 - Torment,,DARK,,17 - Torment,,,,
,Ability 1,Prankster,20 - Night Slash,,Ability 1,Prankster,20 - Night Slash,,,,
,Ability 2,Unburden,23 - Charm,,Ability 2,Unburden,23 - Charm,,,,
,Base Stats,,26 - Thunder Wave,,Base Stats,,26 - Thunder Wave,,,,
,HP,41,29 - Psycho Cut,,HP,66,29 - Psycho Cut,,,,
,Attack,80(+30),32 - Blaze Kick,,Attack,108(+20),32 - Blaze Kick,,,,
,Defense,37,35 - U-Turn,,Defense,60(+10),35 - U-Turn,,,,
,Special Attack,30(-20),38 - Foul Play,,Special Attack,58(-30),38 - Foul Play,,,,
,Special Defense,37,42 - Sucker Punch,,Special Defense,60(+10),42 - Sucker Punch,,,,
,Speed,91(+25),,,Speed,121(+15),,,,,
,,,,,Evolves at level 20.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Pansage,,Learnset,,Simisage,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,5 - Vine Whip,,,,5 - Vine Whip,,,,
,,,9 - Bite,,,,9 - Bite,,,,
,,,14 - Leech Seed,,,,14 - Leech Seed,,,,
,GRASS,,14 - Razor Leaf,,GRASS,,14 - Razor Leaf,,,,
,Ability 1,Overgrow,20 - Acrobatics,,Ability 1,Overgrow,20 - Acrobatics,,,,
,Ability 2,Overgrow,25 - Grass Pledge,,Ability 2,Overgrow,25 - Grass Pledge,,,,
,Base Stats,,29 - Crunch,,Base Stats,,29 - Crunch,,,,
,HP,50,34 - Seed Bomb,,HP,75,34 - Seed Bomb,,,,
,Attack,73(+20),34 - Energy Ball,,Attack,108(+10),34 - Energy Ball,,,,
,Defense,48,38 - Low Kick,,Defense,64(+1),38 - Low Kick,,,,
,Special Attack,73(+20),42 - Superpower,,Special Attack,108(+10),42 - Superpower,,,,
,Special Defense,48,46 - Needle Arm,,Special Defense,64(+1),46 - Needle Arm,,,,
,Speed,84(+20),50 - Leaf Storm,,Speed,111(+10),50 - Leaf Storm,,,,
,,,60 - Frenzy Plant,,Evolves at level 25.,,60 - Frenzy Plant,,,,
,,,,,Now learns TM77,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Pansear,,Learnset,,Simisear,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,5 - Ember,,,,5 - Ember,,,,
,,,9 - Bite,,,,9 - Bite,,,,
,,,14 - Flame Burst,,,,14 - Flame Burst,,,,
,FIRE,,20 - Acrobatics,,FIRE,,20 - Acrobatics,,,,
,Ability 1,Blaze,25 - Fire Pledge,,Ability 1,Blaze,25 - Fire Pledge,,,,
,Ability 2,Blaze,29 - Crunch,,Ability 2,Blaze,29 - Crunch,,,,
,Base Stats,,34 - Blaze Kick,,Base Stats,,34 - Blaze Kick,,,,
,HP,50,34 - Flamethrower,,HP,75,34 - Flamethrower,,,,
,Attack,73(+20),38 - Low Kick,,Attack,108(+10),38 - Low Kick,,,,
,Defense,48,42 - Superpower,,Defense,64(+1),42 - Superpower,,,,
,Special Attack,73(+20),46 - Heat Wave,,Special Attack,108(+10),46 - Heat Wave,,,,
,Special Defense,48,50 - Overheat,,Special Defense,64(+1),50 - Overheat,,,,
,Speed,84(+20),60 - Blast Burn,,Speed,111(+10),60 - Blast Burn,,,,
,,,,,Evolves at level 25.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Panpour,,Learnset,,Simipour,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,5 - Water Gun,,,,5 - Water Gun,,,,
,,,9 - Bite,,,,9 - Bite,,,,
,,,14 - BubbleBeam,,,,14 - BubbleBeam,,,,
,WATER,,20 - Acrobatics,,WATER,,20 - Acrobatics,,,,
,Ability 1,Torrent,25 - Water Pledge,,Ability 1,Torrent,25 - Water Pledge,,,,
,Ability 2,Torrent,29 - Crunch,,Ability 2,Torrent,29 - Crunch,,,,
,Base Stats,,34 - Waterfall,,Base Stats,,34 - Waterfall,,,,
,HP,50,34 - Surf,,HP,75,34 - Surf,,,,
,Attack,73(+20),38 - Low Kick,,Attack,108(+10),38 - Low Kick,,,,
,Defense,48,42 - Superpower,,Defense,64(+1),42 - Superpower,,,,
,Special Attack,73(+20),46 - Muddy Water,,Special Attack,108(+10),46 - Muddy Water,,,,
,Special Defense,48,50 - Hydro Cannon,,Special Defense,64(+1),50 - Hydro Cannon,,,,
,Speed,84(+20),70 - Water Spout,,Speed,111(+10),70 - Water Spout,,,,
,,,,,Evolves at level 25.,,,,,,
,,,,,Now learns TM33,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Munna,,Learnset,,Musharna,,Learnset,,,,
,,,1 - Confusion,,,,1 - Confusion,,,,
